comando	label_ribbon	form_dialogo	hint	descrizione
$SF=UiAutoDraft	Auto Drafting		Auto Drafting for assembly, component or shape	Create multiple sheets automatically for assembly, component or shape.
$SF=UiAutoSync	Auto Sync		Set cloud attributes	Auto synchronize files
$SF=UiBackgroundAt	Background		Edit background	
$SF=UiBatchAttribute	Batch Attribute Edit		Batch Attribute Edit	
$SF=UiBatchShtFmAt	Batch Sheet Format Attributes		Batch sheet format attributes	
$SF=UiBrBlock	Block Manager		Manage Sketch Block Library	
$SF=UiBrPath	Search Paths...		Search Paths...	
$SF=UiCgAt	Set Attributes		Set rendering attributes	
$SF=UiChainPickSetting	Chain Pick Setting		Chain pick setting	
$SF=UiCompareParts	Compare Parts		Perform part compare	Compare two parts and show the differences between them. If they are miss-matched more than the default geometry tolerance, the component&apos;s faces will not be paired for the comparison.
$SF=UiConfig	Configuration...		Edit ZW3D configuration	
$SF=UiCosHatAt	Hatch Attribute...		Set Hatch attributes	
$SF=UiDmAt3D	Dimension...		Set dimension attributes	
$SF=UiDxFileConvert	Multi-Export		Multi-Export	
$SF=UiFiMore	Attribute Filter		Attribute filter	
$SF=UiFillTitleBlock	Fill Title Block		Quickly fill title block	
$SF=UiFlexibleDesign			Flexible design	
$SF=UiHatAt	Hatch...		Set hatch attributes	
$SF=UiInqDbSize	Inquire Size	UiInqDbSize	Show object entity size	
$SF=UiInqFiles	Associated Files		Show files associated with the target object	
$SF=UiLineAt	Line...		Set line attributes	
$SF=UiLineType	Line Type...		Line Type	
$SF=UiLineTypeMgr	Complex Line		Complex Line	
$SF=UiLink	Link Manager		Manage links	
$SF=UiLinkManager	Link Manager		Manage links	
$SF=UiMatAt	Material...		Set material attributes	
$SF=UiMultiPrint	Multi-Print		Multi-Print	
$SF=UiMultiSave	Multi-Save		Multi-Print	Select multiple file and save to cloud
$SF=UiMutableData	Mutable Data		Mutable data	
$SF=UiNotes	Notes		Add/edit notes	
$SF=UiOnlineOpts	Online Options		Set cloud attributes	
$SF=UiOptim	Design Optimizer		Design Optimizer...	
$SF=UiPMIDmAt	PMI Attributes...		Set PMI dimension attributes	
$SF=UiPartAt	Properties...		Set part attributes	
$SF=UiPartLib	Part Library		Part Library...	
$SF=UiPartTable	Library Publisher		Library Publisher...	
$SF=UiPipCatalogStg	Set Routing Catalog		Set pipe type	
$SF=UiPlayList	Play History		Play History	
$SF=UiPointAt	Point...		Set point attributes	
$SF=UiPrint3D	3D Print		3D Print	
$SF=UiPrintPlot	Print/Plot		Print and Plot	
$SF=UiPrintPre	Print Preview		Print preview	
$SF=UiScript	Script Record		Open script record	
$SF=UiSeriesValue	Series Value		Set series value	
$SF=UiShowOverlap	Overlap	UiShowOverlap	Show overlap information.	
$SF=UiShtLineAt	Line...		Set line attributes	
$SF=UiShtTextAt	Text...		Set text attributes	
$SF=UiSurfAt	Face...		Set face appearance	
$SF=UiTblAt	Table...		Set table attributes	
$SF=UiTblAutoSplit	Auto Split			
$SF=UiTextAt	Text...		Set text attributes	
$SF=UiUpdName	Find/Replace Name		Find/replace references to an object or file name	
$SF=UiVEType	Set Echo Type	UiVEType	Echo Type	
$SF=UiVar	Create a variable		Create a variable	
$SF=UiViewExt	Zoom Extents		Zoom Extents	
$SF=UiViewLyrVisibility	View layer visibility		View layer visibility	
$SF=WdWeldConvert	Convert Welds	WdWeldConvert	Convert welds	
$SaveAndClose	Save/Close		Save and then close the active file	
$ShowHints	Show Hints		Hints on/off	
$SymManager	Block Manager		Manage Symbol Library	
$UiWinPattern=0	Tile			
$UiWinPattern=1	Horizontal Tile			
$UiWinPattern=2	Vertical Tile			
$UiWinPattern=3	Cascade			
$VxDbClean	Clean File		Delete leaked objects	It should only be used to "repair" files that seem to have a definite problem -- files that are inordinately large. Using this command would be to backup the original file.
$iexplore=140	TraceParts		TraceParts library	
$iexplore=141	CadRegister...		CadRegister library	
$iexplore=155	More...		More...	
$snt=assem	Assembly		Assembly	
$snt=draft	Drafting		Drafting	
$snt=intro	Introduction		Introduction	
$snt=model	Modeling		Modeling	
$ss	Show-n-Tell Editor		Make a ZW3D CAD/CAM slideshow	
$tm=2	CAD_BasicCasesStudy...		CAD Primary Tutorial_Product Design.pdf	
$tm=3	What&apos;s New		WhatsNew.pdf	
$tm=4	CAM_Milling...		CAM From Entry to Master Tutorial_2X Machining.pdf	
$tm=5	Mold_Advanced_Tutorial...		CAD From Entry to Master Tutorial_Mold Design.pdf	
$tm=more	More...		More training manuals	
$vport=0	Fullscreen		Fullscreen	
$vport=1	Left - Right		Left - Right	
$vport=2	Left - Right (2)		Left - Right (2)	
$vport=3	Top - Bottom		Top - Bottom	
$vport=4	Top (2) - Bottom		Top (2) - Bottom	
$vport=5	Quad		Quad	
$vport=6	Associated Screen		Associated screen	
+!CdDstAllChld	Measure Distance		Measure Distance	
+!CdNumEnt	Dimension Value		Dimension Value	
+!CdNumPnt	To Point		To Point	
+FldEditDataPick	Edit		Edit	
+FldInsertDataPick	Insert		Insert	
+~CdExpShow	Expression		Expression	
+~CdNumRedef	Redefine		Redefine	
0	0 Degrees		0 degrees	
180	180 Degrees		180 degrees	
270	270 Degrees		270 degrees	
30	30 Degrees		30 degrees	
360	360 Degrees		360 degrees	
45	45 Degrees		45 degrees	
60	60 Degrees		60 degrees	
90	90 Degrees		90 degrees	
CdInvertPick	Invert Pick		Invert Pick	
CdLastPick	Last Pick		Last pick	
DirAuto	Dynamic Pick		Auto direction pick	
DynamicPick	Dynamic Pick		Dynamic pick	
EntAllButIn	Out/Cross		pick if totally/partially outside window	
EntAllButOut	In/Cross		pick if totally/partially inside window	
EntAllIn	In		pick if totally inside window	
EntAllOut	Out		pick if totally outside window	
EntPartial	Cross		pick if cross window	
EntWinPickOn	Window Pick		Window Pick	
FldAddItem	Add New Item		Add	
FldDelLast	Unpick Last		Unpick Last (Ctrl+Delete)	
FldDelThese	Unpick		Unpick	
GetCurve	To Curve		To Curve	
GetExtFace	To Extended Face		Boundary Extended Face	
GetFace	To Face		Boundary face	
NumDyn	Dynamic Input		Dynamic number	
NumThruAll	Through All		Through All	
PntAbs	Absolute		Absolute	
PntCrit	Critical		Critical	
PntDir-X	-X Axis		-X Axis	
PntDir-Y	-Y Axis		-Y Axis	
PntDir-Z	-Z Axis		-Z Axis	
PntDirX	X Axis		X Axis	
PntDirXplode	Explode Dir		Explode Dir	
PntDirY	Y Axis		Y Axis	
PntDirZ	Z Axis		Z Axis	
PntDmSmtAng	Angular Dim		Angular Dim.	
PntDmSmtDef	Default Dim		Default Dim.	
PntGrid	Grid		Grid	
PntOnEnt	On Entity		On Entity	
PntRel	Relative		Relative	
PntSmt	Default		Default	
PntSmtPopOff	Smart Pick Off		Smart Pick Off	
PntSmtPopOn	Smart Pick On		Smart Pick On	
PntSnp	Smart Point Ref		Smart Point Ref	
PntTanEnt	Tangent		Tangent	
PntToEnt	Entity		Entity	
SMFcNrm	Face Normal		Face Normal	
SMPntDir-X	-X Axis		-X Axis	
SMPntDir-Y	-Y Axis		-Y Axis	
SMPntDir-Z	-Z Axis		-Z Axis	
SMPntDirX	X Axis		X Axis	
SMPntDirY	Y Axis		Y Axis	
SMPntDirZ	Z Axis		Z Axis	
ToNext	To Next		To next	
WidDelAll	Unpick All		Unpick All (Delete)	
WidDelAllMissing	Unpick All Missing		Unpick all missing (delete)	
^$CdRedrawAll	Redraw All		Redraw All	
^RotDown	^RotDown			
^RotLeft	^RotLeft			
^RotLeftNormal	Rotate Left			
^RotRight	^RotRight			
^RotRightNormal	Rotate Right			
^RotUp	^RotUp			
^nextView	Next View		Next view	
^prevView	Previous View		Previous view	
^viewAux	Auxiliary View		Auxiliary	
^viewBack	Back View		Back	Display a view that is parallel to the back of the part looking in the direction of the negative world Y axis.
^viewBtm	Bottom View		Bottom	Display a view that is parallel to the bottom of the part looking in the direction of the positive world Z axis.
^viewDimt	Dimetric View		Dimetric View	
^viewFront	Front View		Front	Display a view that is parallel to the front of the part looking in the direction of the positive world Y axis.
^viewIso	Isometric View		Isometric	Display a view of the part that is isometric.
^viewIsoAdd	Iso Add		Iso Add	
^viewLeft	Left View		Left	Display a view that is parallel to the left side of the part looking in the direction of the positive world X axis.
^viewPlane	Plane View		Plane view	Display the active sketch plane.  It is useful for moving between views while editing a sketch and then returning to the active sketch plane.
^viewRight	Right View		Right	Display a view that is parallel to the right side of the part looking in the direction of the negative world X axis.
^viewTop	Top View		Top	Display a view that is parallel to the top of the part looking in the direction of the negative world Z axis.
^zoomAll	Zoom All		Zoom All	
^zoomAt	Zoom At		Zoom At	
^zoomIn	Zoom In		Zoom In	Enlarge the display of a window area by selecting two diagonal points.
^zoomLimits	Zoom Limit		Zoom Limit	Re-display the active drawing sheet to its set limits.
^zoomOut	Zoom Out		Zoom Out	Pick two diagonal corners of a zoom window.
^~CdReadout	Show Cursor Coordinates		Show cursor coordinates	
{111B6A78-988F-4C1E-8977-8501E4B839F8}	Custom		Custom	
{52FC0AC3-CB96-43F4-808C-00E13AC6C4A7}	Blank/Unblank			
{D781E1B4-9498-42F9-9F07-DFCD2C8EC23E}	Lock/Unlock Cells			
{DA07ED74-5FF5-4899-B9D5-5DBCFA157C59}	Key		Key	
{EBE1105C-5FFB-4AA3-9D47-9719D9504B9B}	Modify Text			
{EF0420B8-E286-4D98-9938-68533D62C0BB}	Orient		Orient	
|DECmd_!FtAllExt	Extruded Shape		Extruded shape	Select Extrude, and then drag and rotate the arow or type a value in text box to extrude.
|DECmd_!FtChamfer	Chamfer		Chamfer	Select Chamfer, and then drag the arow or type a value in text box to chamfer.
|DECmd_!FtDraftAll	Draft		Draft	Select Draft, and then rotate the arrow or type a value in text box to draft.
|DECmd_!FtFlltConst2	Fillet		Fillet	Select Fillet, and then drag the arow to fillet.
|FldDelDataPick	Delete		Delete	
|FormApply	Apply		Apply	
|FormEscape	Escape		Escape from current command	
|FormNextFld	Next Field		Next Field	
|FormOK	OK		OK	
|FormPrevFld	Previous Field		Previous Field	
|FormReject	Cancel		Cancel	
~Anim0deg2Ui	0 Degree		0 degree	0 degrees
~Anim180deg2Ui	180 Degrees		180 degrees	180 degrees
~Anim270deg2Ui	270 Degrees		270 degrees	270 degrees
~Anim30deg2Ui	30 Degrees		30 degrees	30 degrees
~Anim360deg2Ui	360 Degrees		360 degrees	360 degrees
~Anim45deg2Ui	45 Degrees		45 degrees	45 degrees
~Anim60deg2Ui	60 Degrees		60 degrees	60 degrees
~Anim90deg2Ui	90 Degrees		90 degrees	90 degrees
~AnimActivateFolder	Activate All		Activate all	
~AnimActivateTypeNode	Activate		Activate	
~AnimAlnKfrmDisable	Disable	AnimAlnKfrmDisable	Disable keyframe alignment	
~AnimAlnKfrmEnable	Enable	AnimAlnKfrmEnable	Enable keyframe alignment	
~AnimAnimationAct	Activate		Activate	
~AnimAsmCall(HideCons)	Hide Constraint Status		Hide constraint status	
~AnimAsmCall(HideSupp)	Hide Inactive Components		Hide inactive components	
~AnimAsmCall(adjustColumn)	Size All Columns to Fit		Resize all columns to adapt content	
~AnimAsmCall(blk)	Blank		Blank	
~AnimAsmCall(blk_prof)	Blank		Blank	
~AnimAsmCall(cmp_pref)	Combined Mode		Combined mode	
~AnimAsmCall(coll_all)	Collapse All		Collapse all	
~AnimAsmCall(dis_aln)	Disable		Disable	
~AnimAsmCall(dis_aln_all)	Disable All		Disable all the alignments	
~AnimAsmCall(dtmhd)	Blank External Datum		Blank the external datum of the component	
~AnimAsmCall(dtmsw)	Unblank External Datum		Display the external datum of the component	
~AnimAsmCall(en_aln)	Enable		Enable	
~AnimAsmCall(en_aln_all)	Enable All		Enable all the alignments	
~AnimAsmCall(expd_all)	Expand All		Expand all	
~AnimAsmCall(face_at)	Appearance		Set face appearance	
~AnimAsmCall(flat_pref)	Separated Mode		Separated mode	
~AnimAsmCall(hideAllAttrs)	Hide All Attributes		Hide all the assembly attributes	
~AnimAsmCall(iso)	Show Only		Show only	
~AnimAsmCall(move)	Move		Move	
~AnimAsmCall(open)	Open Part		Open part	
~AnimAsmCall(showAttrsMgr)	Attributes Manager		Show the assembly attributes manager	
~AnimAsmCall(unblk)	Unblank		Unblank	
~AnimAsmCall(unblk_prof)	Unblank		Unblank	
~AnimAsmCall(zoom_to)	Zoom To		Zoom to component	
~AnimAsmExpandPicked	Show Picked on Tree		Show picked on tree	
~AnimAsmTLCall(dis_aln)	Disable		Disable	
~AnimAsmTLCall(dis_aln_all)	Disable All		Disable all	
~AnimAsmTLCall(en_aln)	Enable		Enable	
~AnimAsmTLCall(en_aln_all)	Enable All		Enable all	
~AnimBlankAllObj	Blank All		Blank all	Blank all
~AnimBlankFolder	Blank All		Blank all	
~AnimBlankMotor	Blank		Blank motor	Blank motor
~AnimBlankObj	Blank		Blank	Blank objects
~AnimBlankTypeNode	Blank		Blank	
~AnimBlkAllMotor	Blank All		Blank all motor	Blank all motor
~AnimCall(dis)	Disable		Disable	
~AnimCall(ena)	Enable		Enable	
~AnimCall(mtredef)	Redefine			
~AnimCall(set)	Set value		Set value	
~AnimCollapseAll	Collapse All	AnimCollapseAll	Collapse all nodes	
~AnimDeactivateFolder	Deactivate All		Deactivate all	
~AnimDeactivateTypeNode	Deactivate		Deactivate	
~AnimDelAll	Delete All		Delete all	Delete all
~AnimDelAllCamera	Delete All Camera		Delete all camera	Delete all camera
~AnimDelAllComp	Delete All		Delete all component	Delete all component
~AnimDelAllMotor	Delete All		Delete all motor	Delete all motor
~AnimDelAnimation	Delete		Delete	
~AnimDelFolder	Delete All		Delete all	
~AnimDelTypeNode	Delete		Delete	
~AnimDisableAllAlign	Disable All		Disable all align	Disable all align
~AnimEdit	Edit		Edit	
~AnimEnableAllAlign	Enable All		Enable all align	Enable all align
~AnimExpandAll	Expand All	AnimExpandAll	Expand all nodes	
~AnimFaceAng2Ui	Measure Face Dihedral		Measure face dihedral	Measure face dihedral
~AnimInqAng2Ui	Angle		Angle	Angle
~AnimInqDst2Ui	Distance		Distance	Angle
~AnimInterTypeLinear	Linear		Set keyframe interpolation type to linear	Set keyframe interpolation type to linear
~AnimInterTypeNone	None		Set keyframe interpolation type to none	Set keyframe interpolation type to none
~AnimKfrmAddNewKfrm	Keyframe		Add new keyframe	Add new keyframe
~AnimKfrmCopy	Copy		Copy keyframe	Copy keyframe
~AnimKfrmCut	Cut		Cut keyframe	Cut keyframe
~AnimKfrmDelete	Delete		Delete keyframe	Delete keyframe
~AnimKfrmInvert	Invert		Invert keyframe	Invert keyframe
~AnimKfrmMirror	Mirror		Mirror keyframe	Mirror keyframe
~AnimKfrmPasteMouse	Paste		Paste keyframe	Paste keyframe
~AnimKfrmRedefCam	Redefine		Redefine camera keyframe	Redefine camera keyframe
~AnimKfrmRefresh	Refresh		Refresh keyframe value	Refresh keyframe value
~AnimKfrmSelectAll	Select All		Select all	Select all
~AnimKfrmSuppress	Suppress		Suppress keyframe	Suppress keyframe
~AnimKfrmUnSuppress	Unsuppress		Unsuppress keyframe	Unsuppress keyframe
~AnimMeasAcr2Ui	Measure		Measure arc	Measure arc
~AnimMotorBlank	Blank		Blank motor	Blank motor
~AnimMotorUnblank	Unblank		Unblank motor	Unblank motor
~AnimObjSuppressAll	Suppress All		Suppress all	Suppress all
~AnimObjUnSuppressAll	Unsuppress All		Unsuppress all	Unsuppress all
~AnimRedefCamera	Redefine		Redefine a camera	Redefine a camera
~AnimRedefMotor	Redefine		Redefine a motor	Redefine a motor
~AnimRename	Rename		Rename	
~AnimReuse	Reuse Animation		Reuse animation	
~AnimRowChooseAll	Choose All		Choose all	Choose all
~AnimRowCopy	Copy		Copy all keyframe	Copy all keyframe
~AnimRowCut	Cut		Cut all keyframe	Cut all keyframe
~AnimRowDel	Delete		Delete all keyframe	Delete all keyframe
~AnimSelectAllCol	Select Whole Column		Select all keyframes in this time	
